Case ID,Activity,Complete Timestamp,Variant,Variant index
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
dataProvider,Publish Dataset,2019/08/10 20:54:07.000,Variant 7,7
